cluster,count,land_area_total,Barren and sparsely vegetated land,Built-up land,Forest land,Grassland & woodland,Irrigated cultivated land,Rain-fed cultivated land,Water bodies,Cassava Irrigation High,Cassava Irrigation Intermediate,Cassava Rain-fed High,Cassava Rain-fed Intermediate,Cassava Rain-fed Low,Coffee Irrigation High,Coffee Irrigation Intermediate,Coffee Rain-fed High,Coffee Rain-fed Intermediate,Coffee Rain-fed Low,Maize Irrigation High,Maize Irrigation Intermediate,Maize Rain-fed High,Maize Rain-fed Intermediate,Maize Rain-fed Low,Other Irrigation High,Other Irrigation Intermediate,Other Rain-fed High,Other Rain-fed Intermediate,Other Rain-fed Low,Rice Irrigation High,Rice Irrigation Intermediate,Rice Rain-fed High,Rice Rain-fed Intermediate,Rice Rain-fed Low,Sugarcane Irrigation High,Sugarcane Irrigation Intermediate,Sugarcane Rain-fed High,Sugarcane Rain-fed Intermediate,Sugarcane Rain-fed Low,Vegetables and fruits Irrigation High,Vegetables and fruits Irrigation Intermediate,Vegetables and fruits Rain-fed High,Vegetables and fruits Rain-fed Intermediate,Vegetables and fruits Rain-fed Low
1,157.0,12.23616670535,0.0,0.5574832578457669,3.654043661821443,4.4605914182610595,0.4070264884541205,3.0199192854432875,0.1371025835327523,0.8816878956594287,0.4327554142399199,0.8816878956594287,0.4327554142399199,0.20661656082056132,0.0,0.0,0.0,0.0,0.0,0.4303732461990067,0.2785675159685171,0.4303732461990067,0.2785675159685171,0.15067261161318257,0.6470484086636943,0.4347757966655074,0.6470484086662343,0.4347757966655074,0.22775286656276442,0.6922280259952421,0.3793789804361428,0.6634184703705417,0.36364394904701586,0.18426942658272524,1.0634044604696287,0.6995821655176245,1.0634044604696287,0.6995821655176245,0.3387210194472296,0.1660353051086682,0.10703257494779798,0.1660250228789852,0.10702520454873606,0.05247761601746571
2,191.0,14.88603720205,0.0,0.5712345268157378,4.5420399299009,4.642715397585095,0.5034267786252511,3.2263189747148764,0.38711584211151856,0.9603298436908826,0.5602183234629206,0.9554696337714869,0.5572162291142326,0.27147905801603295,0.0,0.0,0.0,0.0,0.0,0.5739041885156284,0.37747643867712355,0.5637361259360588,0.3711842922640095,0.20596806279027657,0.80981937203822,0.5441539265098375,0.7947821999095503,0.5342675401278194,0.27941570706392455,0.7920104700857437,0.47064345594476026,0.7520722514047672,0.4469638742077413,0.2178319379297226,1.1162706789545986,0.7343602098095476,1.0771392669977309,0.7146691112618169,0.3429596860995466,0.400889528546658,0.26732116704925085,0.3902807032161449,0.26098534068512036,0.14179753174332418
3,317.0,24.70614551335,0.003117494702,2.6680589535023214,3.075388467900986,4.972057604144347,4.996722742052889,4.943391808608268,0.3064148126229543,1.0264570982298262,0.6739053629926327,1.0258186108682437,0.6737132489117162,0.30783943272539505,0.0,0.0,0.0,0.0,0.0,0.8739201890181294,0.5812858046041303,0.8737088337305592,0.5811895892447106,0.29710315492250944,0.9640946373236593,0.647810094364058,0.9640949514009977,0.6478369085570618,0.2918113561082716,0.85699053893706,0.5629179819149177,0.8255731859417744,0.5425829646715229,0.23618612026190555,1.1252003146270841,0.7402384854265568,1.1251829643730855,0.7402343846269964,0.3501526811521512,0.4897397927520188,0.3390567372972332,0.4878543941541642,0.3384891844053642,0.18930585861152333
4,255.0,19.87402872525,0.0,1.1083022430763763,4.605744794921095,7.424999816608992,1.17791611380987,4.483422576337701,0.06045741720315938,0.9883996069665049,0.6089219605688955,0.9882439209433167,0.6089054896784764,0.2836384316051706,0.0,0.0,0.0,0.0,0.0,0.7384125496359426,0.49095254907421054,0.7383556865243345,0.4909368631886502,0.25599372644050455,0.8794423510996083,0.5909305877311554,0.8794313711278585,0.5909305877311554,0.2895380385716757,0.8285525479036217,0.5110317649093326,0.79970744937074,0.4935803918277516,0.22475372576246072,1.1110278417549881,0.7309098039888864,1.1109509797189752,0.7309023531745457,0.3341086275437299,0.4497200001655171,0.3096064423379442,0.4496099161367121,0.30959899148353337,0.16889887964692096
5,146.0,11.3788556623,0.024229169802837337,0.3716445657353278,4.632824702643104,3.837249569885095,0.18597520022336922,2.326932458276557,0.0,1.0229938330715653,0.6751726036202416,0.9835671248501298,0.6509102749497924,0.3517116437219594,0.2655486297934022,0.16009383560859997,0.24355205477100517,0.14869999975374298,0.06781301375937787,0.5845390421070465,0.3781986303525431,0.5584924648885856,0.3614753419405793,0.21726643875853657,0.9405198626342468,0.6319691775596307,0.9215664380217256,0.6193493147418926,0.327987671551639,0.822169178479338,0.5428917812974484,0.7807773962412797,0.515717812107034,0.26459657574353157,1.0422068478309943,0.6856383558822006,0.6664013715639509,0.45015205324512664,0.22892739707476475,0.5319108601418964,0.34364217197825075,0.42408297388520944,0.27138943225436957,0.15283786674301694
6,135.0,10.52154461925,0.0007793736755,0.44505517417349594,2.032679352562197,2.1074848504480634,0.4506760418499491,2.2048213309418494,1.4874890573423545,1.0314066689102743,0.6807251856062149,0.9913288844073255,0.6560066661128291,0.3550007401572336,0.2673688883251614,0.16119481510586206,0.22002963013119167,0.13406814804783568,0.061348889006508686,0.7442037031385637,0.48149185180664095,0.6976681483233418,0.4519718523378728,0.22728222228862624,0.9562281488451849,0.642528149286906,0.905249634495488,0.6085377792075831,0.3224925917166251,0.8359696282280817,0.5520014812328197,0.714362962510851,0.4778125936013679,0.2500896301975956,1.0905570369296615,0.7174429625051998,0.743370372630932,0.5098814812412971,0.26373926003774006,0.5626883597096437,0.3845897353136981,0.4445070901497332,0.30161291005119445,0.16774825403930013
7,1180.0,91.96609370899999,0.0007793736755,2.8544882609158635,42.03263582646965,30.253482301600048,2.7639866059264184,9.991265420352947,1.2637107650255575,1.0839608466423185,0.7154138986134936,1.0608038144192464,0.7008605935613985,0.37563474604638913,0.27940711843765353,0.16845161025806993,0.27292864397420724,0.1647144067388469,0.07434076274350528,0.5717643212463898,0.36992542355747465,0.550261017104327,0.3565032202308462,0.22955203391737874,0.9932468653595756,0.6673991522546551,0.9590061017214244,0.6452932201805762,0.34006584739280965,0.8668604230880742,0.5723838991229824,0.7993535592596392,0.5286055932004573,0.26928516962770666,1.201397371292114,0.790362372519606,0.9998431357690837,0.680217287823305,0.3478277967339856,0.547173619898121,0.3541117796857475,0.49188797813062207,0.3201499515165717,0.18852828095019894
8,521.0,40.605368493549996,0.008530320082451569,0.9973939457980406,22.202713571563066,11.755836156196441,0.9057262940078075,3.3138702892774994,0.4860495318679346,1.0987810001263458,0.7242119004767593,1.0822270605705968,0.7148422264091799,0.33057216884078533,0.27464145861294365,0.1652452977513626,0.27051785026539316,0.16311151633564658,0.06358176591071416,0.5925921301924107,0.38337946253866223,0.566104221984658,0.3682673711465557,0.24063205389509723,1.0141606523036466,0.6814537431823089,0.9709629538420758,0.6566520150929636,0.3036084457917314,0.8856452993147655,0.5840040296602153,0.8002844524932683,0.5281571974909923,0.23207792707230882,1.2128483675262967,0.7978961619671849,1.1581399223854825,0.7778650668211955,0.38122706330898004,0.5263399512597166,0.35146621874269784,0.5014633944696812,0.3376523989175882,0.18605845891386633
9,277.0,21.58865081135,0.0007753213750716476,0.899889850819836,8.396338222501265,7.486490383897004,1.2608246329131982,2.68728835803402,0.07767035362763643,1.0269920590121828,0.6692602873709225,1.0204519860580936,0.6661259916284886,0.31347978364689666,0.25577870034999334,0.1516332130139485,0.25427111942415204,0.15099638993128972,0.0603454874525862,0.5707404327736865,0.3696223832209614,0.5679906144469217,0.36783357527281796,0.23078375473779883,0.9418841165808666,0.6328830336835842,0.9398801428316298,0.6323314088346292,0.29485415147099686,0.8396696755171681,0.5464025273650133,0.7791942231491584,0.5072595668613696,0.22669350164892033,1.140379785200319,0.7502223825626849,1.1248451253567369,0.7451685919228006,0.3620433222946277,0.46993836996295885,0.31992831349434325,0.45707643103390494,0.3136676636966866,0.1720264570008484
10,696.0,54.2444078148,0.0616797897797599,4.562952084629242,4.183209440960765,7.836777114630885,14.639442989266886,16.007258085016414,1.809222068810476,1.0021186788876844,0.6613984199090939,0.9669968389916705,0.638713217192682,0.3450198270808693,0.2262691092902217,0.13641422430331662,0.21656494293062137,0.1309609196480664,0.059587499961770894,0.5507688221575201,0.35634022975104973,0.5274889364324772,0.3414579021177071,0.2177850574597543,0.9172377874106313,0.6163234189324001,0.8829201161176319,0.593270114783583,0.31406393698577223,0.8272864928875839,0.5462709770805539,0.7860679593579522,0.5191495691907815,0.26628721250199716,0.8396229878239245,0.5523617822548439,0.5837629314126639,0.392975286539944,0.19875847731513552,0.395753427542293,0.2476874587717898,0.30795260673183944,0.1902641009814631,0.1149151887824186
11,96.0,7.4819872848,0.0,0.104364212887745,2.60900293019302,3.70594976499242,0.03337760917940942,1.0292927968237982,0.0,0.9183229158322016,0.4294093762834866,0.9183229158322016,0.4294093762834866,0.22452604062855253,0.19011041584114238,0.10814375026772416,0.19011041584114238,0.10814375026772416,0.04805937511846423,0.4698239594697951,0.3023614585399627,0.469877084592978,0.3023885418971379,0.17835416632393997,0.7183125004177082,0.4826562469204267,0.7183125004172327,0.4826562469204267,0.20943854053815214,0.6668677096565566,0.4144916671017804,0.6385572920242948,0.3971458345651626,0.20388958441714447,1.1060937513907751,0.7276614591479301,1.1060937513907751,0.7276614591479301,0.3351520836353301,0.351860714242572,0.22319910691252767,0.3518660714761133,0.22320267838381588,0.11710238093066783
12,211.0,16.44478455305,0.0,0.272612046807127,7.078027902346601,7.2072725385894545,0.08142485886305677,1.8054471934422507,0.0,0.9511369678081489,0.5190786721017122,0.9510274887084958,0.5190649281180864,0.24640947936270471,0.24733127993994983,0.12600710920247993,0.2473071090982989,0.12600426563719444,0.055094312830558836,0.48781800767256756,0.3153824640111335,0.4876530785131229,0.315351658296811,0.16822085335356374,0.7454715656431284,0.5009123219132984,0.745474409266106,0.5009127958125974,0.2714540284956802,0.770977253710489,0.430345971437427,0.7308777237390455,0.4081417065661099,0.2011668244809337,1.1308402825305808,0.7439454969071662,1.130689571254061,0.743924643982078,0.3573137435867887,0.40318943835951304,0.2708266757393335,0.4031404200807647,0.27082620183196354,0.13841821251483735
13,13.0,1.01318577815,0.0,0.010800638319197198,0.7072484547910337,0.2616714129045996,0.0,0.03346526891479746,0.0,0.0,0.0,0.0,0.0,0.0,0.19293076992034913,0.11433076858520506,0.18829999703627365,0.1118615388870239,0.04593076958106114,0.743499994277954,0.477646149121798,0.7227307649759146,0.4674461548145,0.23132307987946735,0.08393845925384615,0.05839230830852801,0.08326922930203952,0.05819230813246507,0.03284615369943473,0.5135846248039833,0.32163077134352464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5081560444045853,0.3475945069239689,0.4856439569494227,0.33445714227445833,0.19558461563927787
14,22.0,1.7146220860999999,0.0,0.041089748985032426,0.5013431691881671,0.7468484768988986,0.006737469041728355,0.41860321504507164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7739318175749346,0.514768182147633,0.7739272702823985,0.514768182147633,0.2684681805697355,0.8971409147409092,0.6028227285905317,0.8971454620361328,0.6028227285905317,0.32654545415531505,0.8411318215456877,0.5164318149740046,0.7662136381322688,0.47195454944263804,0.23326363563537597,0.9844545451077548,0.6476409066807141,0.9843999992717397,0.6476409066807141,0.2007181823253631,0.5077870139827976,0.35949934891292024,0.5077500005821128,0.35950519310963613,0.20198311658648696
15,30.0,2.3381210265,0.0,0.053042302591099426,1.1237961403058743,0.9763123620030654,0.01395463997683951,0.17101558621674992,0.0,0.0,0.0,0.0,0.0,0.0,0.17382666587829593,0.10560333351294199,0.17280666629473368,0.10506333371003468,0.04318000028530757,0.5244333354632059,0.3288933328787485,0.517106668949127,0.3251766657829285,0.15790333251158398,0.7694499937633335,0.5174600036938987,0.7678966601689654,0.5167833383878073,0.244453334013621,0.7420033359527589,0.4671499967575072,0.5257166703542074,0.33193666458129883,0.16684666832288106,0.9627600049972536,0.6333700013160705,0.933716670672099,0.6176866666475933,0.2093066680431366,0.45234714156105404,0.3039104754016512,0.44593142747879033,0.300041428009669,0.1654476194722312
