cluster,mm_evt_whe_rai_int_bas_wor_mean,tha_yld_whe_irr_int_bas_wor_mean,tha_yld_ptw_rai_int_bas_wor_mean,mm_cwd_ptw_rai_low_bas_wor_mean,mm_evt_bar_rai_low_bas_wor_mean,mm_evt_oat_rai_int_bas_wor_mean,tha_yld_bar_rai_low_bas_wor_mean,tha_yld_bar_rai_int_bas_wor_mean,mm_prc_bas_mean,tha_yld_whe_irr_hig_bas_wor_mean,tha_yld_oat_rai_hig_bas_wor_mean,tha_yld_oat_irr_hig_bas_wor_mean,mm_cwd_oat_irr_int_bas_wor_mean,mm_cwd_whe_rai_int_bas_wor_mean,tha_yld_ptw_irr_hig_bas_wor_mean,mm_evt_whe_rai_hig_bas_wor_mean,mm_cwd_ptw_rai_hig_bas_wor_mean,mm_evt_ptw_rai_low_bas_wor_mean,mm_cwd_bar_irr_int_bas_wor_mean,mm_cwd_whe_rai_hig_bas_wor_mean,mm_cwd_bar_irr_hig_bas_wor_mean,mm_cwd_ptw_rai_int_bas_wor_mean,mm_cwd_oat_rai_low_bas_wor_mean,tha_yld_bar_rai_hig_bas_wor_mean,mm_evt_ptw_irr_int_bas_wor_mean,mm_cwd_bar_rai_hig_bas_wor_mean,tha_yld_whe_rai_int_bas_wor_mean,mm_evt_oat_irr_hig_bas_wor_mean,mm_evt_ptw_rai_hig_bas_wor_mean,mm_cwd_bar_rai_int_bas_wor_mean,mm_cwd_whe_irr_hig_bas_wor_mean,mm_evt_ptw_rai_int_bas_wor_mean,mm_cwd_ptw_irr_hig_bas_wor_mean,mm_evt_bar_irr_int_bas_wor_mean,mm_evt_oat_irr_int_bas_wor_mean,mm_evt_oat_rai_low_bas_wor_mean,tha_yld_oat_irr_int_bas_wor_mean,mm_cwd_bar_rai_low_bas_wor_mean,mm_evt_oat_rai_hig_bas_wor_mean,tha_yld_oat_rai_low_bas_wor_mean,tha_yld_ptw_rai_low_bas_wor_mean,tha_yld_whe_rai_low_bas_wor_mean,mm_evt_whe_irr_int_bas_wor_mean,mm_cwd_oat_rai_int_bas_wor_mean,mm_evt_whe_rai_low_bas_wor_mean,tha_yld_bar_irr_hig_bas_wor_mean,mm_evt_ptw_irr_hig_bas_wor_mean,tha_yld_ptw_irr_int_bas_wor_mean,tha_yld_whe_rai_hig_bas_wor_mean,mm_cwd_whe_irr_int_bas_wor_mean,mm_evt_bar_rai_hig_bas_wor_mean,mm_cwd_ptw_irr_int_bas_wor_mean,mm_evt_bar_rai_int_bas_wor_mean,mm_evt_bar_irr_hig_bas_wor_mean,mm_evt_whe_irr_hig_bas_wor_mean,tha_yld_bar_irr_int_bas_wor_mean,tha_yld_ptw_rai_hig_bas_wor_mean,mm_cwd_oat_irr_hig_bas_wor_mean,tha_yld_oat_rai_int_bas_wor_mean,mm_cwd_whe_rai_low_bas_wor_mean,mm_cwd_oat_rai_hig_bas_wor_mean
Arhangay,70.38,0.64,0.77,21.13,72.71,69.8,0.2,0.4,286.1,1.12,0.47,0.94,37.32,29.26,1.82,62.5,26.99,74.85,37.45,28.91,43.11,27.19,22.48,0.57,112.34,28.72,0.39,116.08,64.8,29.01,43.36,72.79,40.09,110.48,110.31,72.99,0.59,22.33,62.08,0.2,0.46,0.18,111.67,29.01,73.45,1.12,118.25,1.21,0.57,37.96,62.08,34.98,69.84,116.4,117.21,0.66,0.97,42.87,0.36,22.54,28.72
Bayan_Olgiy,0,0.36,0,0,0,0,0,0,139.58,0.62,0,0.51,47.01,0,1.03,0,0,0,47.3,0,50.99,0,0,0,62.88,0,0,65.42,0,0,51.38,0,50.91,62.46,62.11,0,0.33,0,0,0,0,0,63.21,0,0,0.62,66.54,0.68,0,47.92,0,47.18,0,66.09,66.56,0.36,0,50.43,0,0,0
Bayanhongor,0,2.21,0,8.52,7.08,0,0.02,0,159.17,3.74,0,2.9,233.58,0,5.92,0,0,7.97,245.47,0,263.39,0.16,9.35,0,312.24,0,0,312.72,0,0,265.27,0.15,260.95,309.66,294.3,7.19,1.86,9.16,0,0.02,0.05,0.02,312.24,0,7.24,3.74,329.36,3.88,0,247.4,0,243.65,0,327.21,329.7,2.21,0,251.91,0,9.38,0
Bulgan,172.88,1.54,1.99,33.58,173.07,170.3,0.48,1.01,369.77,2.68,1.22,2.21,81.38,57.96,4.35,156.78,45,176.57,81.91,54.91,94.33,45.59,44.9,1.47,246.06,54.62,0.99,258.28,162.81,57.47,94.77,176.38,83.05,247.09,246.18,175,1.41,44.04,154.83,0.49,1.16,0.45,249.54,57.67,176.26,2.68,259.3,2.88,1.47,82.68,155.74,71.92,171.04,260.29,262.13,1.57,2.59,93.11,0.9,44.7,54.65
Darhan_Uul,211.6,2.55,2.79,65.68,206.18,207.22,0.63,1.38,326.1,4.37,1.79,3.54,154.47,130.16,6.95,211.32,104.67,202.68,156.17,146.75,177.58,90.49,98.43,2.21,331.44,145.5,1.37,359.7,212.91,128.93,178.62,209.95,160.77,343.54,339.55,210.38,2.27,97.07,206.75,0.67,1.57,0.61,346.73,128.59,211.88,4.37,350.5,4.58,2.21,157.42,209.97,142.1,209.73,364.3,366.92,2.57,4.04,175.49,1.22,98.99,145.47
Dornod,102.13,2.86,1.32,51.37,138.05,99.83,0.39,0.6,281.34,4.87,0.61,3.92,235.4,69.38,7.62,79.26,32.77,140.46,235.8,55.05,266.24,40.47,90.48,0.75,384.53,54.76,0.6,418.8,80.7,68.8,267.61,102.17,252.2,390.69,389.48,140.16,2.53,89.7,77.47,0.41,1.06,0.38,394.35,69.17,141.42,4.87,414.53,5,0.75,237.26,78.76,223.27,100.7,420.79,423.84,2.87,1.48,265.51,0.53,90.54,54.91
Dornogovi,0,3.69,0,0,0,0,0,0,155.53,6.19,0,4.7,432.89,0,9.91,0,0,0,463.9,0,506.33,0,0,0,549.66,0,0,563.66,0,0,509.48,0,490.18,561.89,517.52,0,3.01,0,0,0,0,0,565.94,0,0,6.19,588.45,6.49,0,466.81,0,449.96,0,604.02,608.32,3.69,0,477.65,0,0,0
Dundgovi,0,3.17,0,0,0,0,0,0,146.2,5.36,0,4.27,354.11,0,8.57,0,0,0,365.84,0,400.37,0,0,0,455.59,0,0,474.96,0,0,403.05,0,402.68,450.93,435.18,0,2.75,0,0,0,0,0,454.71,0,0,5.36,493.5,5.6,0,368.58,0,364.73,0,484.88,488.51,3.17,0,392.83,0,0,0
Dzavhan,31.53,0.8,0.45,56.31,37.43,31.22,0.09,0.17,201.29,1.39,0.19,1.14,73.55,47.87,2.21,26.28,58.35,44.89,73.7,41.9,79.51,60.82,51.11,0.23,117.86,41.59,0.16,122.67,38.55,47.58,80.07,42.51,76.99,117.86,117.63,37.9,0.72,50.43,26.06,0.1,0.27,0.09,119.22,47.34,38.06,1.39,123.43,1.46,0.23,74.57,26.11,71.33,31.38,123.53,124.41,0.81,0.59,78.94,0.15,51.44,41.58
Govi_Altay,4.93,2.56,0.1,39.38,10.7,4.8,0.03,0.03,144.28,4.34,0.01,3.35,262.22,9.44,6.82,1.53,6.11,22.12,275.96,3.04,296.42,16.39,18.74,0.01,353.05,3.02,0.03,353.93,3.51,9.37,298.74,9.33,296.75,349.66,332.8,10.71,2.15,18.71,1.38,0.03,0.13,0.02,352.91,9.19,10.78,4.34,373.38,4.48,0.01,278.56,1.52,276.17,4.89,369.77,372.59,2.57,0.06,283.35,0.02,18.87,2.74
Govisumber,0,2.84,0,0,0,0,0,0,185.72,4.83,0,3.88,291.85,0,7.66,0,0,0,294.61,0,326.72,0,0,0,385.91,0,0,428.9,0,0,328.75,0,305.98,402.82,398.7,0,2.5,0,0,0,0,0,406.46,0,0,4.83,416.57,5.03,0,296.87,0,275.17,0,435.14,438.43,2.84,0,322.43,0,0,0
Hentiy,89.8,1.74,0.95,45.89,117.92,88.82,0.29,0.45,288.37,3.02,0.49,2.48,154.91,47.6,4.94,74.6,37.96,125.21,155.64,41.36,178.02,42.15,56.1,0.59,293.44,41.12,0.44,316.33,82.76,47.32,179.04,98.26,163.52,296.51,295.22,119.25,1.58,54.97,73.82,0.29,0.74,0.27,299.51,47.41,120.06,3.02,315.86,3.26,0.59,157.02,74.09,142.19,89.11,318.88,321.12,1.77,1.11,176.49,0.4,55.98,41.17
Hovd,0,2.28,0.03,18.19,0.46,0,0,0,120.58,3.88,0,3.08,229.56,0,6.16,0,1.12,8.37,236.92,0,251.99,5.62,0.96,0,297.36,0,0,304.84,0.53,0,254.02,2.61,252.88,297.26,288.64,0.46,1.98,0.96,0,0,0.05,0,299.96,0,0.47,3.88,314.2,4.03,0,239.14,0,235.99,0,311.94,314.35,2.29,0.01,245.86,0,0.96,0
Hovsgol,21.63,0.23,0.25,7.47,25.8,21.35,0.07,0.12,299.93,0.4,0.14,0.34,14.92,8.85,0.66,18.31,7.09,27.74,14.96,8.11,17.08,7.83,8.69,0.17,42.83,8.07,0.12,43.95,20.35,8.77,17.17,23.81,15.88,41.93,41.86,26.04,0.21,8.59,18.11,0.07,0.16,0.06,42.4,8.77,26.3,0.4,45.08,0.44,0.17,15.16,18.18,13.92,21.42,44.12,44.42,0.24,0.31,16.97,0.11,8.71,8.06
None,83.64,0.82,1,17.41,77.18,78.23,0.23,0.47,258.45,1.4,0.5,1.16,48.46,41.93,2.33,65.8,23.34,79.02,50.32,31.54,59.64,28.77,28.82,0.6,119.66,31.21,0.47,126.23,65.82,40.95,59.89,80.98,53.38,124.8,119.55,83.2,0.73,27.3,64.12,0.23,0.58,0.21,127.55,39.73,82.61,1.4,127.8,1.54,0.6,51.21,65.45,45.21,81.93,133.84,134.75,0.82,1.16,56.79,0.42,28.52,31.14
Omnogovi,0,3.74,0,0,0,0,0,0,104.98,6.27,0,4.71,450.47,0,9.84,0,0,0,484.76,0,523.11,0,0,0,550.96,0,0,549.77,0,0,526.74,0,515.61,553.08,509.64,0,3.02,0,0,0,0,0,557.25,0,0,6.27,583.97,6.46,0,488.18,0,481.09,0,591.25,595.63,3.74,0,490,0,0,0
Orhon,206.83,1.75,2.3,46.5,203.9,204.83,0.57,1.2,327.6,3.08,1.63,2.58,95.15,75.52,4.94,207.62,79.35,204.88,95.15,88.48,110.29,67.48,53.08,1.96,288.75,87.98,1.17,302.62,210.9,75.06,110.88,208.62,101.02,288.52,288.52,204.04,1.63,52.06,204.81,0.57,1.31,0.52,290.73,76.21,206.15,3.08,303.46,3.28,1.96,95.67,206.12,87.67,205.44,303.67,305.69,1.8,3.32,109.71,1.08,52.44,88.9
Selenge,217.35,2.2,2.72,45.64,211.72,213.79,0.63,1.38,360.9,3.78,1.8,3.08,113.85,93.66,6.06,216.24,80.12,208.11,114.63,108.82,133.27,67.39,66.41,2.21,306.11,108.15,1.36,329.43,217.08,92.83,134.07,214.09,120.55,314.63,312.62,216.08,1.97,65.48,212.51,0.67,1.54,0.61,317.96,92.89,217.48,3.78,324.38,3.99,2.21,115.75,214.84,103.59,214.97,333.18,335.59,2.22,3.94,131.71,1.22,66.58,107.87
Suhbaatar,0.37,3.11,0,25.65,30.04,0.34,0.08,0,213.71,5.27,0,4.22,305.36,0.39,8.22,0,0,31.01,307.57,0,343.13,0.27,35.29,0,428.27,0,0,458,0,0.38,345.33,0.35,337.15,425.83,422.45,30.7,2.73,34.49,0,0.08,0.21,0.07,429.59,0.38,30.9,5.27,463.99,5.38,0,309.9,0,301.63,0.35,461.41,464.85,3.11,0,340.89,0,35.29,0
Tov,48.66,1.85,0.57,37.22,70.09,47.66,0.18,0.26,244.27,3.19,0.27,2.62,172.27,33.62,5.28,37.87,24.76,73.59,173.52,28,194.82,29.02,44.05,0.33,284.84,27.8,0.26,309.14,40.95,33.08,196.02,51.32,178.07,292.65,290.72,71.87,1.67,42.65,37.26,0.19,0.48,0.17,297.61,33.07,72.11,3.19,306.62,3.49,0.33,176.5,37.64,157.16,48.02,313.9,316.18,1.87,0.64,191.59,0.24,43.97,27.69
Ulaanbaatar,56.03,1.53,0.61,88.59,130.28,55.71,0.34,0.29,240.28,2.69,0.11,2.25,138.15,45.32,4.37,15.76,13.03,139.15,138.6,13.72,158,45.77,91.13,0.14,265.32,13.62,0.28,283.12,16.3,44.95,158.93,61.9,145.33,265.41,264.71,130.89,1.42,90.09,15.67,0.34,0.84,0.31,267.96,45.02,131.52,2.69,283.78,2.9,0.14,139.92,15.67,126.96,55.76,284.64,286.54,1.57,0.24,156.99,0.26,91.38,13.62
Uvs,78.71,2,1.14,96.36,90.02,77.81,0.27,0.53,195.23,3.43,0.64,2.78,149.86,84.06,5.37,73.08,106.53,96.32,150.61,80.76,162.74,103.92,93.72,0.8,252.18,80.08,0.52,264.48,89.77,83.23,164.03,92.61,157.27,254.46,253.34,90.86,1.78,92.74,72.21,0.29,0.66,0.26,256.92,82.84,91.46,3.43,263.57,3.53,0.8,152.21,72.63,145.65,78.12,266.37,268.33,2.01,1.61,161.46,0.47,94.59,79.54
ovorhangay,8.59,2.35,0.08,14.13,24.43,8.54,0.06,0.04,203.07,4.01,0.01,3.19,239.06,4.95,6.47,0.99,0.67,26.71,247.62,0.62,271.23,4.86,13.65,0.01,351.65,0.62,0.04,363.79,1.16,4.91,272.91,8.94,262.01,351.94,339.21,24.53,2.05,13.55,0.98,0.06,0.15,0.05,355.12,4.91,24.7,4.01,375.87,4.25,0.01,249.64,0.98,238.43,8.54,375.54,378.3,2.37,0.01,262.95,0.04,13.73,0.62
